"line","timestamp","sensor","ppm","secondary_unit","secondary_value"
"1521","","SO2_HD","0.10","ug/m3","0.26"
"1538","","CO_HD","0.00","mg/m3","0.00"
"1539","","NO2_HD","0.60","ug/m3","1.13"
"1540","","O3_HD","0.2000","ug/m3","392.64"
"1541","","SO2_HD","0.00","ug/m3","0.00"
"1557","","CO_HD","0.00","mg/m3","0.00"
"1558","","NO2_HD","0.70","ug/m3","1.32"
"1559","","O3_HD","0.2000","ug/m3","392.64"
"1560","","SO2_HD","0.00","ug/m3","0.00"
"1579","","CO_HD","1.00","mg/m3","1.16"
"1580","","NO2_HD","0.70","ug/m3","1.32"
"1581","","O3_HD","0.2000","ug/m3","392.64"
"1582","","SO2_HD","0.00","ug/m3","0.00"
"1598","","CO_HD","0.00","mg/m3","0.00"
"1599","","NO2_HD","0.70","ug/m3","1.32"
"1600","","O3_HD","0.2000","ug/m3","392.64"
"1601","","SO2_HD","0.00","ug/m3","0.00"
"1617","","CO_HD","3.00","mg/m3","3.49"
"1618","","NO2_HD","0.80","ug/m3","1.50"
"1619","","O3_HD","0.2000","ug/m3","392.64"
"1620","","SO2_HD","0.80","ug/m3","2.10"
"1635","","CO_HD","6.00","mg/m3","6.99"
"1636","","NO2_HD","0.80","ug/m3","1.50"
"1637","","O3_HD","0.4000","ug/m3","785.28"
"1638","","SO2_HD","0.70","ug/m3","1.83"
"1653","","CO_HD","9.00","mg/m3","10.48"
"1654","","NO2_HD","0.60","ug/m3","1.13"
"1655","","O3_HD","0.2000","ug/m3","392.64"
"1656","","SO2_HD","0.40","ug/m3","1.05"
"1686","","CO_HD","5.00","mg/m3","5.82"
