"line","timestamp","sensor","ppm","secondary_unit","secondary_value"
"2858","","SO2_HD","0.10","ug/m3","0.26"
"2888","","CO_HD","0.00","mg/m3","0.00"
"2889","","NO2_HD","0.50","ug/m3","0.94"
"2890","","O3_HD","0.2000","ug/m3","392.64"
"2891","","SO2_HD","0.10","ug/m3","0.26"
"2907","","CO_HD","0.00","mg/m3","0.00"
"2908","","NO2_HD","0.60","ug/m3","1.13"
"2909","","O3_HD","0.2000","ug/m3","392.64"
"2910","","SO2_HD","0.10","ug/m3","0.26"
"2926","","CO_HD","0.00","mg/m3","0.00"
"2927","","NO2_HD","0.60","ug/m3","1.13"
"2928","","O3_HD","0.2000","ug/m3","392.64"
"2929","","SO2_HD","0.10","ug/m3","0.26"
"2946","","CO_HD","0.00","mg/m3","0.00"
"2947","","NO2_HD","0.50","ug/m3","0.94"
"2948","","O3_HD","0.2000","ug/m3","392.64"
"2949","","SO2_HD","0.10","ug/m3","0.26"
"2965","","CO_HD","0.00","mg/m3","0.00"
"2966","","NO2_HD","0.60","ug/m3","1.13"
"2967","","O3_HD","0.2000","ug/m3","392.64"
"2968","","SO2_HD","0.10","ug/m3","0.26"
"3032","","CO_HD","0.00","mg/m3","0.00"
"3033","","NO2_HD","0.60","ug/m3","1.13"
"3034","","O3_HD","0.2000","ug/m3","392.64"
"3035","","SO2_HD","0.00","ug/m3","0.00"
"3051","","CO_HD","0.00","mg/m3","0.00"
"3052","","NO2_HD","0.60","ug/m3","1.13"
"3053","","O3_HD","0.2000","ug/m3","392.64"
"3054","","SO2_HD","0.00","ug/m3","0.00"
"3070","","CO_HD","0.00","mg/m3","0.00"
"3071","","NO2_HD","0.60","ug/m3","1.13"
"3072","","O3_HD","0.2000","ug/m3","392.64"
"3073","","SO2_HD","0.10","ug/m3","0.26"
"3089","","CO_HD","0.00","mg/m3","0.00"
"3090","","NO2_HD","0.60","ug/m3","1.13"
"3091","","O3_HD","0.2000","ug/m3","392.64"
"3092","","SO2_HD","0.10","ug/m3","0.26"
"3108","","CO_HD","0.00","mg/m3","0.00"
"3109","","NO2_HD","0.50","ug/m3","0.94"
"3110","","O3_HD","0.1000","ug/m3","196.32"
"3111","","SO2_HD","0.00","ug/m3","0.00"
"3129","","CO_HD","0.00","mg/m3","0.00"
"3130","","NO2_HD","0.60","ug/m3","1.13"
"3131","","O3_HD","0.1000","ug/m3","196.32"
"3132","","SO2_HD","0.10","ug/m3","0.26"
"3148","","CO_HD","0.00","mg/m3","0.00"
"3149","","NO2_HD","0.60","ug/m3","1.13"
"3151","","O3_HD","0.2000","ug/m3","392.64"
"3152","","SO2_HD","0.00","ug/m3","0.00"
"3168","","CO_HD","0.00","mg/m3","0.00"
"3169","","NO2_HD","0.60","ug/m3","1.13"
"3170","","O3_HD","0.2000","ug/m3","392.64"
"3171","","SO2_HD","0.00","ug/m3","0.00"
"3187","","CO_HD","0.00","mg/m3","0.00"
"3188","","NO2_HD","0.60","ug/m3","1.13"
"3189","","O3_HD","0.2000","ug/m3","392.64"
"3190","","SO2_HD","0.10","ug/m3","0.26"
